Positivo,Negativo
accarezzare,abusare
accarezzare,abusare
allegra,accidentale
allegro,accidentale
amichevole,addolorata
amichevole,addolorato
amorevole,agonizzante
amorevole,agonizzante
arcobalena,assalto
arcobaleno,assalto
celestiale,assassina
celestiale,assassino
diamantata,brutta
diamantato,brutto
diplomatica,cancerosa
diplomatico,canceroso
famiglia,disastrosa
famiglia,disastroso
felice,divorziata
felice,divorziato
fortunata,imprigionabile
fortunato,imprigionabile
gentile,incarcerata
gentile,incarcerato
gradevole,inquinata
gradevole,inquinato
in vacanza,malata
in vacanza,malato
leale,marcia
leale,marcio
libera,mortale
libero,mortale
miracolosa,odiosa
miracoloso,odioso
onesta,povera
onesto,povero
onorata,puzzolente
onorato,puzzolente
pacifica,schiantata
pacifico,schiantato
paradisiaca,sgradevole
paradisiaco,sgradevole
piacevole,sporca
piacevole,sporco
regalata,tragica
regalato,tragico
ridere,uccidere
ridere,uccidere
sana,velenosa
sano,velenoso
solare,vomitare
solare,vomitare
